experiment_id,sample,category,mechanism_class,count,denominator,fraction,note
HG005_postfix,HG005,window_dropped_no_candidate,engineering_artifact,142,244,0.582,"FN with no extracted candidate at all -- window-level BED filtering vs SNP-level truth confidence (audit M-1); not the coordinate-integrity bug (fixed, verified 0 mismatches)"
HG005_postfix,HG005,difficult_region,biological_data_difficulty,170,244,0.697,"FN; GIAB alldifficult stratum, may co-occur with other flags"
HG005_postfix,HG005,lowmap_segdup,biological_data_difficulty,123,244,0.504,"FN; enrichment 7.7x vs background"
HG005_postfix,HG005,low_vaf,biological_data_difficulty,66,244,0.270,"FN; of the 102/244 FN with a candidate, median VAF 0.082 overall, 0.0 in-segdup vs 0.1875 outside -- low-VAF/segdup failure mode reproduces on HG005"
HG005_postfix,HG005,low_depth,biological_data_difficulty,46,244,0.189,"FN; depth<10"
HG005_postfix,HG005,low_mapq,biological_data_difficulty,30,244,0.123,"FN; mean MAPQ<40"
HG005_postfix,HG005,low_bq,biological_data_difficulty,19,244,0.078,"FN; mean BQ<20"
HG005_postfix,HG005,tandem_repeat,biological_data_difficulty,6,244,0.025,"FN; UNDERPOWERED (n=6), do not over-interpret"
HG005_postfix,HG005,other_FN_unclassified,model_disagreement,4,244,0.016,"FN with no flag matched"
HG005_postfix,HG005,difficult_region,biological_data_difficulty,121,145,0.834,"FP"
HG005_postfix,HG005,lowmap_segdup,biological_data_difficulty,60,145,0.414,"FP; enrichment 6.4x vs background"
HG005_postfix,HG005,tandem_repeat,biological_data_difficulty,47,145,0.324,"FP; enrichment 7.5x vs background (opposite direction from FN, which was depleted -- asymmetric mechanism)"
HG005_postfix,HG005,low_depth,biological_data_difficulty,22,145,0.152,"FP"
HG005_postfix,HG005,low_bq,biological_data_difficulty,16,145,0.110,"FP"
HG005_postfix,HG005,other_FP_unclassified,model_disagreement,20,145,0.138,"FP with no flag matched"
HG005_postfix,HG005,low_mapq,biological_data_difficulty,8,145,0.055,"FP"
HG005_postfix,HG005,low_vaf,biological_data_difficulty,7,145,0.048,"FP"
HG005_postfix,HG005,cascade_specific_FP_router_margin,model_disagreement,2,2,1.0,"2 loci where cascade differs from PB-only; both unrouted (binomial LLR outside router margin), both truth-negative complex sites in tandemrepeats+alldifficult -- see Sec.6 of HG005_POSTFIX_STRESS_TEST_REPORT.md"
unified_happy_forcedGT,HG002,GENOTYPE_ONLY_ERROR,engineering_artifact,5630,16898,0.333,"Truth homalt (1/1) called correctly (right REF/ALT) but forced-GT=0/1 VCF writer emitted heterozygous -- an evaluator/VCF-writer design choice, NOT a detection error. Superseded by Method C (see unified_happy_methodC row in BENCHMARK_MASTER.csv, where this bucket is closed)."
unified_happy_forcedGT,HG002,TRUE_MISSED_VARIANT,model_disagreement,962,16898,0.057,"Genuinely absent AI call, no representation nearby"
unified_happy_forcedGT,HG002,REPRESENTATION_ERROR,engineering_artifact,16,16898,0.001,"hap.py local-match haplotype-window edge case, not a base-calling error"
unified_happy_forcedGT,HG002,EXACT_MATCH,none,10290,16898,0.609,"TP with correct GT even under the forced-0/1 writer (het truth sites)"
